Title,Address,Price
3 bedroom terraced house for sale,"Southwark Park Road, Bermondsey","£775,000        




Guide Price"
3 bedroom duplex for sale,"Grove Park, Canberwell, SE5","£1,000,000        




Offers in Excess of"
3 bedroom terraced house for sale,"Consort Road, London","£1,000,000"
3 bedroom end of terrace house for sale,"Peckham Hill Street, London, SE15","£1,000,000"
3 bedroom house for sale,"Consort Road, Peckham, SE15","£1,000,000"
4 bedroom terraced house for sale,"Datchelor Place, Camberwell, SE5","£1,000,000        




Guide Price"
3 bedroom end of terrace house for sale,"Kings Grove, London","£999,950"
3 bedroom semi-detached house for sale,"Oswyth Road, Camberwell","£980,000"
3 bedroom terraced house for sale,"Choumert Road, London","£950,000"
4 bedroom terraced house for sale,"Stanbury Road, Peckham","£950,000"
5 bedroom maisonette for sale,"St Mary's Road, London, SE15","£950,000"
4 bedroom terraced house for sale,"Crofton Road, SE5 8NB","£950,000"
3 bedroom flat for sale,"Camberwell Grove, Camberwell, SE5","£950,000"
3 bedroom terraced house for sale,"Mona Road, Peckham","£925,000"
3 bedroom mews house for sale,"Quantock Mews , Peckham","£925,000        




Guide Price"
4 bedroom terraced house for sale,"Elm Grove, London, SE15","£900,000        




Offers in Excess of"
3 bedroom house for sale,"Quantock Mews, Peckham","£895,000"
4 bedroom terraced house for sale,"Benhill Road, London","£875,000"
3 bedroom terraced house for sale,"Saskia Mews, Peckham, SE15","£875,000"
3 bedroom terraced house for sale,Geldart Road Peckham SE15,"£875,000"
3 bedroom block of apartments for sale,"6A & 6B Grace's Road, Camberwell, London, SE5","£870,000        




Guide Price
*"
5 bedroom maisonette for sale,"Southampton Way, London, SE5","£850,000"
3 bedroom semi-detached house for sale,"Southwark Park Road, Bermondsey","£850,000        




Guide Price"
3 bedroom terraced house for sale,"Lugard Road, Peckham, SE15","£850,000"
3 bedroom flat for sale,"Lynton Road, Bermondsey, London, SE1","£850,000"
